student_id,attendance,quiz_avg,assignment_avg,midterm,late_submissions,prev_gpa,final_mark,risk_label
RU1131,59,96,22,37,1,1.04,55,Medium
RU1132,91,72,49,49,2,1.52,61,Low
RU1133,91,95,51,97,2,2.36,79,Low
RU1134,30,60,18,81,0,1.07,44,Medium
RU1135,56,34,59,29,7,2.5,42,Medium
RU1136,91,67,36,78,5,1.64,64,Low
RU1137,32,72,75,90,7,2.21,60,Low
RU1138,99,71,14,50,8,1.74,42,Medium
RU1139,56,31,38,62,4,1.18,41,Medium
RU1140,38,67,46,97,2,3.79,79,Low
RU1141,91,67,47,51,4,3.05,54,Medium
RU1142,66,95,92,37,4,0.56,61,Low
RU1143,80,58,17,96,4,3.47,68,Low
RU1144,73,61,74,87,2,1.95,81,Low
RU1145,53,51,95,78,3,3.58,66,Low
RU1146,88,79,26,29,8,3.2,60,Low
RU1147,61,24,80,50,8,1.7,43,Medium
RU1148,81,63,98,80,1,0.09,77,Low
RU1149,91,69,54,4,7,1.07,36,High
RU1150,87,17,13,28,7,2.17,33,High
RU1151,81,62,45,3,6,2.53,43,Medium
RU1152,41,69,79,9,7,1.03,43,Medium
RU1153,68,14,40,55,2,0.56,30,High
RU1154,31,77,28,16,5,3.34,40,Medium
RU1155,32,15,70,73,0,3.94,70,Low
RU1156,85,56,63,16,6,2.1,46,Medium
RU1157,88,64,48,83,0,0.69,68,Low
RU1158,31,49,100,87,8,1.09,47,Medium
RU1159,31,61,83,68,0,0.07,59,Low
RU1160,83,25,99,33,0,3.66,63,Low
RU1161,30,22,28,5,6,0.47,15,High
RU1162,48,39,48,52,1,2.31,50,Medium
RU1163,31,28,76,65,4,1.1,45,Medium
RU1164,82,26,54,76,7,2.22,55,Medium
RU1165,73,72,22,42,7,2.61,40,Medium
RU1166,61,28,67,74,2,3.32,67,Low
RU1167,99,67,29,22,6,0.83,24,High
RU1168,61,64,81,54,2,0.04,63,Low
RU1169,97,99,70,79,5,0.55,80,Low
RU1170,84,99,48,94,5,3.6,68,Low
RU1171,85,71,10,74,2,3.5,66,Low
RU1172,46,32,12,15,6,2.39,12,High
RU1173,67,18,86,7,2,2.4,49,Medium
RU1174,53,21,71,3,7,2.66,37,High
RU1175,98,10,72,3,3,0.7,49,Medium
RU1176,99,67,34,55,0,3.66,88,Low
RU1177,40,10,65,24,3,1.68,46,Medium
RU1178,45,43,42,66,6,1.53,38,High
RU1179,88,57,47,95,3,2.08,63,Low
RU1180,99,98,15,66,5,0.19,52,Medium
RU1181,32,10,67,26,8,0.67,22,High
RU1182,49,25,53,92,0,2.95,58,Low
RU1183,88,70,54,31,4,0.33,62,Low
RU1184,65,73,41,49,6,2.41,58,Low
RU1185,48,72,54,60,0,0.98,58,Low
RU1186,96,78,70,50,3,1.56,64,Low
RU1187,48,31,56,18,5,1.15,25,High
RU1188,49,76,30,20,1,1.42,45,Medium
RU1189,100,85,89,4,4,2.88,68,Low
RU1190,81,35,94,81,0,1.19,85,Low
RU1191,62,25,84,91,5,2.27,60,Low
RU1192,69,60,45,41,5,1.9,52,Medium
RU1193,68,95,28,60,3,2.65,64,Low
RU1194,30,66,29,21,7,3.75,37,High
RU1195,40,38,66,20,3,2.93,44,Medium
RU1196,86,87,27,69,7,0.86,55,Medium
RU1197,79,78,56,0,7,0.12,38,High
RU1198,52,56,58,4,4,1.05,39,High
RU1199,60,71,23,11,3,2.38,47,Medium
